locus_tag	ftype	length_bp	gene	EC_number	COG	product
KENBAJHJ_00001	CDS	849				7,8-dihydropteroate synthase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00002	CDS	1338				phosphoglucosamine mutase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00003	CDS	333				preprotein translocase IISP family protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00004	tRNA	87				tRNA-Leu(gag)
KENBAJHJ_00005	CDS	1065				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00006	CDS	1344				argininosuccinate synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00007	tRNA	77				tRNA-Met(cat)
KENBAJHJ_00008	CDS	423				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00009	CDS	1503				L factor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00010	CDS	2679				protein chain initiation factor IF-2 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00011	CDS	402				ribosome-binding factor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00012	CDS	945				tRNA pseudouridine 5S synthase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00013	CDS	270				30S ribosomal subunit protein S15 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00014	CDS	2166				polynucleotide phosphorylase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00015	CDS	885				lipoprotein, cell division [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00016	CDS	1890				cysteine sulfinate desulfinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00017	CDS	1245				HAAAP family tryptophan-specific transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00018	CDS	531				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00019	CDS	720				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00020	CDS	1008				putative alkanal monooxygenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00021	CDS	879				putative protease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00022	CDS	996				putative protease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00023	CDS	525				putative lipid carrier protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00024	CDS	504				putative ABC superfamily transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00025	CDS	318				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00026	CDS	444				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00027	CDS	519				putative intracellular proteinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00028	CDS	636				putative nucleoside-diphosphate-sugar epimerase [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00029	CDS	576				putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00030	CDS	591				putative phosphoheptose isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00031	CDS	396				putative endonuclease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00032	CDS	2043				putative transglycosylase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00033	CDS	864				putative methyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00034	CDS	774				transcriptional regulator of sugar metabolism [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00035	CDS	1044				galactitol-1-phosphate dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00036	CDS	1374				PTS family galactitol-specific enzyme IIC [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00037	CDS	285				PTS family galactitol-specific enzyme IIB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00038	CDS	465				galactitol-specific enzyme IIA of phosphotransferase system [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00039	CDS	1272				putative tagatose 6-phosphate kinase 1 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00040	CDS	807				putative phosphotransferase system mannitol/fructose-specific IIA domain protein [Salmonella enterica subsp.enterica serovar Typhimurium str. LT2]
KENBAJHJ_00041	CDS	1428				putative phosphotransferase system fructose-specific component IIB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00042	CDS	915				putative fructose-1-phosphate kinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00043	CDS	855				putative fructose/tagatose biphosphate aldolase [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00044	CDS	834				aga operon transcriptional repressor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00045	CDS	948				putative ribokinase family sugar kinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00046	CDS	1572				galactarate dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00047	CDS	771				2-dehydro-3-deoxy-galactarate Aldolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00048	CDS	891				tartronate semialdehyde reductase (TSAR) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00049	CDS	1146				glycerate kinase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00050	CDS	603				hypothetical protein
